1000
7141	20265
97484	16041
10306	94288
3396	52304
5045	70693
13947	48319
41391	57767
61274	55199
4450	40042
43996	14017
80537	78208
3274	74826
88713	87888
59739	67587
48913	74849
24653	68277
51	32432
83611	43387
2085	91982
34823	56940
22719	95835
6401	17794
1476	46996
48240	95438
79917	57413
80681	86971
52745	25588
71764	34880
93859	89390
67165	39396
40452	64793
62658	31732
75280	32876
58473	59933
29246	5084
54385	22580
90159	15723
97689	92001
70037	89671
13184	94531
30273	93991
71715	1996
69978	47467
36136	83261
58234	38961
29653	38161
64644	64465
58893	91843
53032	88324
80445	91989
42363	37221
22850	92402
81957	71325
50559	94355
34392	96842
1	50585
16313	10235
73880	96868
59166	2173
88960	36174
19329	13663
86398	80545
91299	67339
84357	72863
2192	93666
56710	57231
82552	87717
9288	226
65818	46393
31554	11515
60753	24519
13130	36210
68758	26115
73298	69132
42740	62130
80889	43911
13637	48476
70687	74367
74288	65154
7209	84030
84357	69687
25373	67148
42083	39857
86109	43610
40773	69301
28101	51974
79278	1293
71786	82150
79805	96188
64822	53473
27082	93756
66074	78444
5022	66703
93174	44352
20534	63276
6745	5557
96475	77221
40654	69085
50290	5079
89241	77160
32545	52398
35131	48744
8033	66334
83450	37842
32153	23365
49188	94860
85634	46218
46638	87597
9595	45463
28186	92069
44170	23714
33082	43872
24889	20047
15449	33211
57658	986
57885	72382
86106	31088
3378	54417
9926	86459
66399	37714
79851	95605
26687	63246
68706	29423
44982	9454
62020	37048
96058	91054
79208	53982
98953	59978
88584	29400
89748	38056
47208	50129
58152	4846
17867	73302
26198	84974
31950	23823
56245	71608
86164	73160
18035	7555
77230	6754
11351	8224
59602	2782
41748	59704
29213	78326
90950	60203
80712	45745
21818	83080
63230	65435
18161	73412
28593	63009
75972	66236
87507	75319
93996	28484
33321	28865
55372	96736
55768	32195
66033	96347
46004	22295
61971	94136
35147	99927
14184	66565
99546	68252
41276	16980
3311	56018
22127	59542
90963	71301
23992	98702
53726	86942
70013	49610
73203	40645
67590	65026
62752	84709
30064	41007
40993	40601
24416	38746
48010	27278
95477	52580
5793	44319
50040	24793
48313	19777
14406	33217
21481	98988
18803	49048
54424	9704
92231	42680
36116	8375
91541	69759
52481	13083
51330	16999
4027	83640
42486	6026
63763	26791
7851	94979
13830	75251
40443	59312
26454	22041
46766	15598
1792	28202
77653	8342
6113	72293
55833	72885
63974	69629
16915	93470
23316	83164
68706	2839
94966	16267
90408	91813
42352	52218
58193	41307
72545	73755
11290	95843
23364	11910
360	25099
50327	66977
92503	5339
63638	67913
95437	57867
