100 200
66	92
1	40
2	35
60	79
65	22
11	91
74	16
7	68
25	6
7	61
71	96
96	1
42	43
58	85
23	36
82	2
90	1
28	78
13	67
14	46
79	19
40	61
1	36
80	37
5	57
23	47
45	86
3	72
96	86
78	80
81	97
59	62
33	94
71	47
25	90
90	95
11	25
42	13
16	8
80	17
57	26
37	95
65	39
58	93
76	60
98	77
6	52
78	67
42	70
88	72
3	19
55	22
69	86
87	15
88	68
1	73
50	66
70	30
99	98
94	89
84	7
51	42
28	55
99	3
32	47
87	35
26	34
27	26
19	33
93	32
23	41
88	72
72	68
63	3
15	5
90	0
56	42
70	45
0	52
61	38
65	25
88	54
41	88
76	34
0	40
62	75
43	63
25	21
40	9
33	91
43	45
9	93
58	70
11	46
18	56
62	31
84	73
34	60
39	43
10	13
